epoch,train_loss,val_loss,test_loss,learning_rate,train_accuracy,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,test_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted,train_f1_MI,train_f1_NORM,train_precision_MI,train_precision_NORM,train_recall_MI,train_recall_NORM,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM,test_f1_MI,test_f1_NORM,test_precision_MI,test_precision_NORM,test_recall_MI,test_recall_NORM,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,test_loss_MI,test_loss_NORM
1,0.2920356484370953,0.3029817331549795,0.30998916601442617,0.1,0.8886493168603606,0.8889070117978131,0.8893332673469293,0.8886493168603606,0.9018144235186036,0.9019392840684756,0.9021121961240057,0.9018144235186036,0.8969837850096383,0.8968318030590385,0.896743965099557,0.8969837850096383,0.8555363886428272,0.9094130235223267,0.8450486295313882,0.9165458638286839,0.8662877428857375,0.9023903457878858,0.8712349397590361,0.9206570155902004,0.8654997007779772,0.9244316064107343,0.8770466949666464,0.916913123844732,0.864756233717901,0.9168078384689345,0.8714371437143714,0.9125045570543201,0.858176983306249,0.9211518998987948,0.3092104554457097,0.2686707322941134,0.45719960866193166,0.16552892487002646,0.4763181755830453,0.16545069915498944
2,0.21654064736459683,0.2599347850318945,0.2557759036152984,0.1,0.9173620244794699,0.9174397313385272,0.9175448513006754,0.9173620244794699,0.8970486908589802,0.8974294308302522,0.8982528495336176,0.8970486908589802,0.9021431001247306,0.9022498029242454,0.9023951135825243,0.9021431001247306,0.8919767004885382,0.9330865835632064,0.8875904493016472,0.9359516193055782,0.8964065184961384,0.9302390345787885,0.8668003863011663,0.9161012587150812,0.8498179169701384,0.9277793574068809,0.8844754396604002,0.9047134935304991,0.8732559847260978,0.9203065841721304,0.8681559351730179,0.9237186022801,0.8784163096469197,0.9169196798233508,0.23338998441741912,0.19587655770523912,0.20496141108173518,0.30039145511976123,0.21382666824628477,0.29529912213700404
3,0.19480256369794546,0.28238850847963837,0.2766401129037105,0.1,0.923887966536579,0.9239255697660648,0.9239706831353616,0.923887966536579,0.8988860817638953,0.8976807504742959,0.8994578169816708,0.8988860817638953,0.9045810182560381,0.9032372425528913,0.9061933562216021,0.9045810182560381,0.9002712170866765,0.938461002057111,0.8979541996205219,0.9399576281051382,0.9026002228222898,0.9369691343699235,0.8592663629824983,0.9210986155293696,0.9085685313503464,0.8939038177232803,0.8150394178289873,0.95,0.867657466383581,0.9253956292388847,0.9275386684599866,0.8928999144568007,0.8150391490618999,0.9603459379887754,0.2102536108055467,0.1748048674883595,0.4464836974640304,0.13461251316458686,0.47206589886016026,0.12275342739767571
4,0.18031474825024146,0.2870285751519564,0.2887705081085565,0.1,0.9294077060738697,0.9294276422051322,0.9294500310511788,0.9294077060738697,0.9064079007808912,0.9050631897287361,0.9078946135741072,0.9064079007808912,0.9057716294364441,0.9040609870434444,0.9089892593601225,0.9057716294364441,0.9074007730743848,0.9429629973752062,0.9060681942274019,0.943818004277876,0.9087372774137508,0.9421095381759109,0.8685059696676347,0.9273489035478695,0.9281034482758621,0.8955750688705234,0.8161006670709521,0.9614602587800369,0.8673159827558677,0.926945054945055,0.9435469862775752,0.8874673849002609,0.8024819027921406,0.9700984451191462,0.19405561973604457,0.16268494752790397,0.44802957634410434,0.1325052679212803,0.4953686008934249,0.11098433552188394
5,0.16954482964977438,0.3049067034406205,0.2904795532405532,0.08000000000000002,0.9329581635366582,0.9330041717980481,0.9330649289814549,0.9329581635366582,0.8654685346807534,0.8673236385630498,0.8819248606164314,0.8654685346807534,0.8790112257625581,0.8803699498381992,0.8892584810468763,0.8790112257625581,0.9122450515541507,0.9457605042505437,0.9089784210427642,0.9478659176204574,0.9155352455765999,0.9436644233000696,0.840471164975829,0.8836932241250931,0.7628228896304536,0.9545308310991957,0.9357186173438448,0.8226432532347505,0.8547311095983663,0.8963373166229477,0.7925766948617599,0.9494700010291243,0.9274634362535087,0.848836139479253,0.18152133973404383,0.15360725665574565,0.16251599484435125,0.42729066779333963,0.2086118834791158,0.3608220167242099
6,0.14947885307144715,1.1082246929995774,1.1015777470357484,0.08000000000000002,0.939829089314848,0.9398947272355612,0.9399984790063104,0.939829089314848,0.5195222783647221,0.4636276711621624,0.7754134422931059,0.5195222783647221,0.5208073477718562,0.4632206132502029,0.7719196612118421,0.5208073477718562,0.921408857931397,0.9512541630761348,0.9161455319307809,0.9546559461480928,0.9267330098004041,0.9478765374796937,0.609992542878449,0.37440191387559807,0.44037685060565274,0.9796557120500783,0.992116434202547,0.23142329020332716,0.6134991768794585,0.3696300715990454,0.4442678323067753,0.9759747932256794,0.9909883291475846,0.22798785536847915,0.16401989862103672,0.1357475533372695,0.03777612231002714,2.0498085139441664,0.03930326432060856,2.017876416012861
7,0.20145433846599353,0.3150144079131137,0.29610592202543334,0.08000000000000002,0.9207687387251414,0.9208606917591348,0.9209949076194197,0.9207687387251414,0.8666169039963252,0.8681281227375259,0.8759184094739499,0.8666169039963252,0.8763465245492686,0.8775181747265803,0.8831631711570883,0.8763465245492686,0.8965523713004148,0.93579798262166,0.8911003749370442,0.9393648863530072,0.9020714919651793,0.932258064516129,0.8368336025848142,0.887205632435057,0.7796099986912708,0.9346291560102302,0.9031231049120679,0.8443622920517561,0.8488041594454073,0.8954007002062251,0.7996342737722049,0.9351833299939892,0.9044171960407741,0.85886466096237,0.21461646283055683,0.18419280962895274,0.19125122468794473,0.4036307945969875,0.21577636572681883,0.368433951575687
8,0.15499168917215123,0.31393459151913083,0.32464802353367783,0.06400000000000002,0.9382119781222824,0.9382829342741925,0.938396134712067,0.9382119781222824,0.9000344510794671,0.8985702425439224,0.9013868587627449,0.9000344510794671,0.9039006690100918,0.9022759854495864,0.9065223830917116,0.9039006690100918,0.919321690331178,0.9499344844655389,0.9137905302040968,0.9535161045186181,0.924920218290311,0.9463796704571826,0.8594040216425745,0.9224464341396054,0.9194746846379817,0.8903603061312236,0.8067010309278351,0.9569316081330869,0.8652944448859572,0.9253073635041643,0.936360509115927,0.8879397834912043,0.8042546905008126,0.9659582298279511,0.16542736413933146,0.14110683916335212,0.5375580505037395,0.11252386885738497,0.5836233220833347,0.09382665002266403
9,0.13028908832364455,0.34554311326120113,0.29967145272184764,0.06400000000000002,0.9476271588434421,0.9476996452529406,0.9478347123071672,0.9476271588434421,0.86805236564079,0.8697312598498781,0.8806343671666,0.86805236564079,0.8794080961560268,0.8806601822896045,0.8877753415694023,0.8794080961560268,0.9317025165190497,0.9575297676289056,0.924932077859243,0.961908219065797,0.9385728043506997,0.9531909955906243,0.8410788381742739,0.8871981150598861,0.7732706002034588,0.9460845896147404,0.9219223771983021,0.8352125693160813,0.8538445681302824,0.8973604207884959,0.7981757451181911,0.9435762127055003,0.9178608361648692,0.8554604839451652,0.13804393383479158,0.11893974740558085,0.17477338745030352,0.48723959385750504,0.19346773222032934,0.38742082691548957
10,0.13203961081620968,0.33806646898294784,0.340361207013958,0.06400000000000002,0.946549084715065,0.9466426414785891,0.9468375058761919,0.946549084715065,0.8982544786403307,0.8974640330584793,0.8980571217308276,0.8982544786403307,0.901406055108289,0.9002541069681671,0.9021975302935793,0.901406055108289,0.9304361653368752,0.9566014063548566,0.9218564650059312,0.9621881786699537,0.9391770681873973,0.9510791366906475,0.8607575043218607,0.9198407672125215,0.8934747145187601,0.9008506113769271,0.8303517283201941,0.9396487985212569,0.8645322115759134,0.9225010027184812,0.9144693473961767,0.8945548833189283,0.8197665829516916,0.9522495169748827,0.1383449709533392,0.12166282311869402,0.5116717696964371,0.17380778900141639,0.568469558759525,0.13433942057810677
