epoch,train_loss,val_loss,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM
1,0.203375815533687,0.27092532587926843,0.20471256971359253,0.20554296672344208,0.27562642097473145,0.2774057686328888,0.8712677997243914,0.8740321463086785,0.8836746142394873,0.8712677997243914,0.8453984287317621,0.8914875992788579,0.7866840731070496,0.9428011955065444,0.9135839902971498,0.8454713493530499
2,0.12456594285815795,0.4340513433256179,0.12551894783973694,0.1260959357023239,0.4050224721431732,0.40019652247428894,0.897220946256316,0.8971762009444363,0.8985141003870044,0.897220946256316,0.8603334381881095,0.9196359849685335,0.8937908496732027,0.901393449897932,0.8292904790782293,0.9386321626617375
3,0.08134015501696529,0.3954128625152011,0.08217719942331314,0.08254972100257874,0.37874162197113037,0.3782751262187958,0.8866559485530546,0.8874327899811163,0.8882894887167833,0.8866559485530546,0.8506697282816685,0.9098439872980809,0.8590199412583088,0.9061325511045926,0.8424802910855064,0.9135859519408502
4,0.05835034717221112,0.5496718618211144,0.05891114100813866,0.05912133306264877,0.5141435861587524,0.5133986473083496,0.8928571428571429,0.8927832005775564,0.8934389648817738,0.8928571428571429,0.8554967299906571,0.9155134741442098,0.8793213828425096,0.9020452099031216,0.832929047907823,0.9293900184842884
5,0.04457475955466719,0.6766728088656184,0.045129284262657166,0.04517329856753349,0.6334198117256165,0.6283099055290222,0.8914790996784566,0.8905021026310126,0.8919501912005836,0.8914790996784566,0.8499164877117633,0.9152435736113608,0.8939267190898444,0.8907452764170749,0.810036385688296,0.9411275415896488
6,0.03710620871943568,0.5593181139851213,0.037573717534542084,0.037679560482501984,0.5368558168411255,0.5344611406326294,0.8934313275149288,0.8932432004623799,0.8935954496822551,0.8934313275149288,0.8566775244299675,0.9155340691416584,0.8769450619244205,0.903745723032595,0.8373256519102487,0.927634011090573
7,0.031136545443065447,0.5835795954104602,0.031499456614255905,0.03172217682003975,0.578329861164093,0.5724886059761047,0.8888952687184198,0.889729388435414,0.8909353977011429,0.8888952687184198,0.8569088743299583,0.9097371620989617,0.8418665886483323,0.9208483241810264,0.8724984839296543,0.8988909426987061
8,0.028574689289911546,0.7096215361766042,0.042950812727212906,0.040954217314720154,0.677858829498291,0.6713847517967224,0.8860243454294902,0.8862375127029619,0.8866026336253621,0.8860243454294902,0.8489407430150445,0.9089740647234336,0.8597636815920398,0.9029639762881897,0.8383869011522135,0.9150646950092421
9,0.024658774785721493,0.6900270125245057,0.024993084371089935,0.025099661201238632,0.6618189215660095,0.6581569314002991,0.8855649977032614,0.88549728983055,0.8856638929543548,0.8855649977032614,0.846917570999769,0.9090159428257284,0.8600906675003908,0.9012536337209303,0.8341419041843542,0.916913123844732
10,0.02228222838914673,0.630304885567249,0.022622311487793922,0.022655952721834183,0.5992596745491028,0.5958669185638428,0.8891249425815342,0.8892706593078353,0.8896944254526874,0.8891249425815342,0.8519232251599476,0.9120380969824625,0.8665516700642936,0.9038025229149651,0.8377804730139479,0.9204251386321627
11,0.020609867065947002,0.6787358085113455,0.020911946892738342,0.020998293533921242,0.6532989740371704,0.6474156975746155,0.8870578778135049,0.887216395220704,0.8874066808468644,0.8870578778135049,0.8505641964013418,0.9095600092144667,0.855521472392638,0.9068442811208085,0.8456640388114008,0.9122920517560074
12,0.019586911497106795,0.894278011595908,0.019892269745469093,0.01995026506483555,0.8209787607192993,0.8142369985580444,0.8947519522278364,0.8935154419408026,0.8973050881483261,0.8947519522278364,0.8515720204728248,0.9190846478560319,0.917381410817434,0.885066324347454,0.7945724681625227,0.955822550831793
13,0.017582840588587126,0.7394517481434515,0.017796043306589127,0.01791745238006115,0.6917898654937744,0.6987085938453674,0.8991157556270096,0.899075303076734,0.8995446254772462,0.8991157556270096,0.8645171291272671,0.9201423747376106,0.884395813510942,0.9087795204615108,0.8455124317768344,0.9317929759704251
14,0.016241731733494615,0.8634043964285484,0.0165048036724329,0.016496999189257622,0.8078806400299072,0.7990497350692749,0.8929145613229215,0.8927763748592271,0.8936583432868914,0.8929145613229215,0.8549522766390236,0.9158343925912475,0.8832848367280957,0.8999821556031407,0.8283808368708309,0.9322550831792976
15,0.015606958992068787,1.1779950365274174,0.03778648376464844,0.03679834306240082,1.1314013004302979,1.1271109580993652,0.8942351860358291,0.8941159549051126,0.8943628955560903,0.8942351860358291,0.8581801328595705,0.9160228571428571,0.8748031496062992,0.9062867480777929,0.8421770770163736,0.9259704251386321
16,0.016104068939336212,0.9622215578097979,0.016394704580307007,0.016386905685067177,0.9096022248268127,0.9180310368537903,0.8979099678456591,0.8977229812933529,0.89796357890504,0.8979099678456591,0.8629331683168316,0.9189312628453985,0.8809222994314593,0.908352144469526,0.8456640388114008,0.9297597042513863
17,0.011817043911673928,0.9692593695557874,0.032121945172548294,0.03463434427976608,0.9538273811340332,0.9617718458175659,0.887746899402848,0.8883351480919149,0.8890267164014444,0.887746899402848,0.8540102132772605,0.9092600344170039,0.8461309523809524,0.9151764816028461,0.8620375985445725,0.9034195933456562
18,0.017417188931137428,1.0759598277280464,0.017503002658486366,0.01783314161002636,0.9962635636329651,1.0045063495635986,0.8887804317868626,0.8878477941179065,0.88972927773745,0.8887804317868626,0.8458037211530783,0.9134783583763175,0.8935380462291209,0.8874074074074074,0.802910855063675,0.9411275415896488
19,0.009866645155652687,1.1736682966615875,0.009984057396650314,0.01006077416241169,1.0947935581207275,1.1039986610412598,0.8944074414331649,0.8937566137263018,0.894680562844576,0.8944074414331649,0.8554093452052636,0.9171335622627869,0.8905660377358491,0.8971888260254597,0.8229229836264402,0.9379852125693161
20,0.01134687225377066,1.0306408917758967,0.011485878378152847,0.011562572792172432,0.9672806859016418,0.9786804914474487,0.8881488286632981,0.8880675349374978,0.8884177404994897,0.8881488286632981,0.8499574402228585,0.9112998995158491,0.8680259206574996,0.900848835109265,0.8326258338386902,0.921996303142329
21,0.011994240708257152,0.9041230369976678,0.012177732773125172,0.012219352647662163,0.8748980760574341,0.8770888447761536,0.8882062471290767,0.8885750730912084,0.8889622842090523,0.8882062471290767,0.8524864823699642,0.9105751049209058,0.8564651874521806,0.9087728988308938,0.8485445724681625,0.9123844731977819
22,0.011892204827853902,1.07543680787854,0.012096187099814415,0.012166452594101429,1.02849543094635,1.0312303304672241,0.8960725769407442,0.8961799895519925,0.8967332246313113,0.8960725769407442,0.8609691902771327,0.9176449093317499,0.8796267004112622,0.9071615641650862,0.843086719223772,0.928373382624769
23,0.011785670870245407,1.5624850517395368,0.012010286562144756,0.012093174271285534,1.426518201828003,1.4349552392959595,0.9004937988056959,0.8994822317685622,0.9022985713977068,0.9004937988056959,0.8613749798744164,0.9227128633299102,0.9182972880192242,0.8925455644812992,0.8110976349302608,0.9549907578558225
24,0.011150680225952878,0.9639673091266899,0.011346554383635521,0.011353518813848495,0.9098730087280273,0.9049533009529114,0.8958429030776298,0.8957155477193122,0.896237996533509,0.8958429030776298,0.8593859308200544,0.9178625119584529,0.8817993300366884,0.905039978438595,0.8380836870830807,0.9310536044362292
25,0.011074997569375787,0.9610100143132523,0.011190243996679783,0.011239571496844292,0.9089006781578064,0.9084644913673401,0.8984267340376665,0.89819023339289,0.8987978071414296,0.8984267340376665,0.8627359226329746,0.9198036006546645,0.8883713459685191,0.9051539012168933,0.8385385081867799,0.9349353049907578
26,0.009386500551462083,1.4917279677332547,0.009548800997436047,0.009519778192043304,1.367323637008667,1.3711130619049072,0.897508038585209,0.8962778773954355,0.8991223628147181,0.897508038585209,0.8562671398612679,0.9206688963210702,0.9148569458807307,0.8895303748384317,0.8047301394784718,0.9540665434380776
27,0.010287561864737543,1.9783569939418564,0.010454198345541954,0.010507127270102501,1.7898640632629395,1.801926612854004,0.8937758383096004,0.892122895001107,0.8962532112048944,0.8937758383096004,0.8493061224489796,0.9182245060689288,0.9200565970993987,0.8817423855708695,0.788659793814433,0.9578558225508318
28,0.008365570750747701,2.566689030164626,0.008561067283153534,0.00859968550503254,2.305734157562256,2.3142707347869873,0.8953261368856225,0.8932421102603451,0.8994859690935278,0.8953261368856225,0.8494035785288271,0.9199665978112777,0.9362673484295105,0.8770636051286349,0.7772892662219527,0.96728280961183
29,0.009684895750322518,2.731903470412624,0.009901442565023899,0.009929169900715351,2.436093807220459,2.4666805267333984,0.8760335323840147,0.8725980264681622,0.8835536423532381,0.8760335323840147,0.8163126013138811,0.9069102874956703,0.9334634146341464,0.853128054740958,0.7252880533656761,0.9679297597042514
