epoch,train_loss,val_loss,test_loss,learning_rate,train_accuracy,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,test_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted,train_f1_MI,train_f1_NORM,train_precision_MI,train_precision_NORM,train_recall_MI,train_recall_NORM,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM,test_f1_MI,test_f1_NORM,test_precision_MI,test_precision_NORM,test_recall_MI,test_recall_NORM,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,test_loss_MI,test_loss_NORM
1,0.5463875209192822,0.36383291424110414,0.38953277096615285,0.0001,0.7576475486923248,0.7525249799787419,0.7541354465612863,0.7576475486923248,0.8730013704888077,0.8727773059607445,0.8726418200853898,0.8730013704888077,0.8520506157496328,0.8514593914703013,0.8513049145059234,0.8520506157496328,0.6542959549411163,0.8134257416987222,0.7204618750140953,0.7750126379644452,0.5992609127914611,0.8558452735392631,0.8331582895723931,0.8974831750714484,0.8408540278619019,0.8924642464246425,0.8256021409455843,0.902558872612646,0.8051774157554117,0.88074313555849,0.8221175755734468,0.8697724615522978,0.7889212827988338,0.8919940970300683,0.6153524289984222,0.4855948688787058,0.44053657914417377,0.3017249966877094,0.48703590402645724,0.3194895618728229
2,0.3303388945202757,0.28643094645128125,0.32139252049278344,0.0001,0.8727861414428578,0.8732712816483281,0.8742548981803244,0.8727861414428578,0.8901324805847419,0.890141688348943,0.8901511138115282,0.8901324805847419,0.8750988588860016,0.874758771175714,0.8746364058447219,0.8750988588860016,0.8373416559574077,0.8955471982834844,0.8198666211285075,0.9079749468097822,0.8555778573974376,0.8834550614067733,0.8570367067914995,0.9107854956876565,0.8566547831253714,0.9110389610389611,0.8574189711567053,0.9105321713332097,0.8365491239742737,0.8989349545184441,0.8486575671216439,0.891073855913004,0.8247813411078717,0.9069359896698026,0.3692890316794772,0.29444176546477396,0.3671045343837012,0.22351739269451817,0.4332463876876448,0.23303176920328822
3,0.2734668709121992,0.2702956012105114,0.2987493627045252,0.0001,0.8933399381160575,0.8937301030283733,0.8945876591322044,0.8933399381160575,0.8980127912288717,0.8979139470443138,0.8978434458289932,0.8980127912288717,0.8882047226302113,0.8876561497336867,0.8877796639443658,0.8882047226302113,0.8634931135551329,0.9124766567107906,0.8462397349085147,0.9245627648779323,0.8814646682548913,0.9007024562709341,0.8665570830842797,0.917467652495379,0.870982276960048,0.9145936981757877,0.8621766280107047,0.9203597255701835,0.8521479267837131,0.9101230755256824,0.8740229885057471,0.8964838507649637,0.8313411078717201,0.9241837299391257,0.3021801351407252,0.24556609225382497,0.36123528444896574,0.1987720419369314,0.416340257187507,0.1990357317562614
4,0.2429874342481813,0.2645693108500711,0.28992816849948727,0.0001,0.9058962044036671,0.9061837960713904,0.9067941878515863,0.9058962044036671,0.8993832800365463,0.8991480934438929,0.8990708318662441,0.8993832800365463,0.8940797649983053,0.8934153968391905,0.8938153759369384,0.8940797649983053,0.8791287829887686,0.9229575643587634,0.8645555616011027,0.9329816055896193,0.8942017295391023,0.9131466319315221,0.8674390610893771,0.9189214062212405,0.8780079195857448,0.9122053718253244,0.8571216176033304,0.925737066567773,0.8590331554018494,0.9151698864407547,0.8869740723490142,0.898144036941657,0.832798833819242,0.9328537170263789,0.27041866214723764,0.21673892087072408,0.36920483521037345,0.18037744808564152,0.4159579320278551,0.17798387283193215
5,0.2204606608150066,0.2641156902592059,0.27976225642629454,0.0001,0.9157961993782889,0.9159986149804944,0.9163977988577076,0.9157961993782889,0.8992119689355871,0.8989252923582217,0.8988687522177905,0.8992119689355871,0.8973562309343577,0.8965948038649385,0.897283037247246,0.8973562309343577,0.8914333317906235,0.9312287820065552,0.8798925556408289,0.9390305911289274,0.9032808718978034,0.9235555452177149,0.8668828720114639,0.9189065012634965,0.8796877391703658,0.9108297659167501,0.8544454356229557,0.9271277582050806,0.8626917554598352,0.9180460962518605,0.8956535383649773,0.8983140612587166,0.8320699708454811,0.9386644530529422,0.243210019622374,0.19743348778387823,0.3730077817226234,0.17725040924235963,0.404247071793569,0.17024551832250187
6,0.20013555746681738,0.2682453489102093,0.2772463301173335,0.0001,0.9242819093565362,0.92443686508164,0.9247338626330491,0.9242819093565362,0.8960712654179991,0.8960566848491022,0.8960427140151805,0.8960712654179991,0.8933453847022935,0.8929536700245976,0.8929553903948338,0.8933453847022935,0.9021750220284747,0.9382389281552489,0.8922687410560305,0.9448618302334084,0.9123037385807274,0.9317082247860067,0.8646034816247582,0.9156704661291817,0.8652471709350804,0.9152463875509448,0.8639607493309545,0.9160949378824402,0.8597742127153892,0.9139471285323609,0.8764385221078135,0.903406019102541,0.8437317784256559,0.9247371333702269,0.2203956868943818,0.17952618391141978,0.3510442829380433,0.2045132122879875,0.3653291805115129,0.19682910053857736
7,0.18331270994831675,0.2678165753691531,0.27931802346671103,0.0001,0.9316189614697077,0.931746985639839,0.9319941279445842,0.9316189614697077,0.8980698949291914,0.8979368681629596,0.8978546618774753,0.8980698949291914,0.8985990283583776,0.8980820217169774,0.8982963044555264,0.8985990283583776,0.9115672785004039,0.9442581505995541,0.9024264705882353,0.9503257041216591,0.9208951584160273,0.9382675846669147,0.8664022154030387,0.9176014402437336,0.8723436322532027,0.9137629861174956,0.8605411834671425,0.9214722788800297,0.8657743213938532,0.9185238981435251,0.8888377091969907,0.9042809902582893,0.8438775510204082,0.9332226526471131,0.20143233734533328,0.16495712419988912,0.3710335280098345,0.18582745409314183,0.38901756876813515,0.1812443738004991
8,0.16822181379116496,0.2805793858407675,0.28837166330785,0.0001,0.9381375948540127,0.9382521890538762,0.9384842130981033,0.9381375948540127,0.8980698949291914,0.8976674760089892,0.8976934002495004,0.8980698949291914,0.8976386848943623,0.8968600293865834,0.8975988055010292,0.8976386848943623,0.9199884862159577,0.9495754554125777,0.9108626902993308,0.9556092102938578,0.9292989926654036,0.9436174171938966,0.8646599438926378,0.9182505152278452,0.882252823766053,0.9073219295863879,0.847754980672019,0.9294455776005933,0.8629556799273937,0.9183121449824182,0.8967305878654511,0.8981481481481481,0.8316326530612245,0.9394023242944106,0.18282705516716755,0.15256061903927304,0.4178365942198729,0.16992236595546853,0.4348574327704098,0.16170902659318276
9,0.15282635811371076,0.2954479633209748,0.30414114908476547,8e-05,0.9440244664125261,0.9441218529626354,0.9443230985923318,0.9440244664125261,0.8951005025125628,0.8946829929632082,0.89469875816252,0.8951005025125628,0.8953225624223251,0.8946381109031779,0.8951037409907333,0.8953225624223251,0.9275566994025773,0.9543920401036518,0.9189248895434462,0.9600696691890365,0.9363522106961301,0.948781168589505,0.8606961401380148,0.9158767229930851,0.8783470051075685,0.904895484571532,0.843740707701457,0.9271277582050806,0.8605193827625142,0.9162258691622587,0.8896498054474709,0.8985545801188259,0.8332361516034985,0.9346061612248663,0.16504237197783836,0.1393037632996336,0.4402390030361172,0.17725540578797244,0.4510454243049026,0.17331138102869903
10,0.1368885198142356,0.29822513612234847,0.29837579210859655,8e-05,0.9508661598213837,0.9509430469236806,0.9511040686182306,0.9508661598213837,0.8945865692096848,0.8943497891659603,0.894258375982055,0.8945865692096848,0.897186758558355,0.8966740619796476,0.8968619101443811,0.897186758558355,0.9363490941557234,0.959991114332815,0.9285253158719912,0.965102611721009,0.9443058395392898,0.954933475995534,0.8611821326515265,0.9150326797385621,0.8712720632988435,0.9085923217550275,0.8513232233125186,0.9215649916558502,0.8639760837070254,0.9173628768616056,0.8865030674846626,0.9034162046145591,0.8425655976676385,0.9317469101641763,0.14800169756379697,0.124448110737385,0.4292110553605185,0.19419619131266422,0.4264249977988324,0.18161612449746048
11,0.12415842475880536,0.3072745332493527,0.3060261126784009,8e-05,0.956078194884165,0.9561478070865707,0.9563043184660334,0.956078194884165,0.895043398812243,0.8949017920717338,0.8948142123482358,0.895043398812243,0.8969607953903513,0.8965442491005453,0.8966011400640534,0.8969607953903513,0.9431074244904032,0.964232680502777,0.9351245689416712,0.9694354971433945,0.9512277476598698,0.9590854112393004,0.8624045515795777,0.9151666205114003,0.8685162846803377,0.9112132352941177,0.856378233719893,0.919154459484517,0.8642857142857143,0.916955017301038,0.8826747720364742,0.9054126955583528,0.8466472303206997,0.9287954251983029,0.133720328932235,0.11429309433479921,0.4387244174823813,0.20416234342543327,0.43577649937942625,0.1912676575061466
