epoch,train_loss,val_loss,test_loss,learning_rate,train_accuracy,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,test_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted,train_f1_MI,train_f1_NORM,train_precision_MI,train_precision_NORM,train_recall_MI,train_recall_NORM,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM,test_f1_MI,test_f1_NORM,test_precision_MI,test_precision_NORM,test_recall_MI,test_recall_NORM,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,test_loss_MI,test_loss_NORM
1,0.2765401085129546,0.39586495956834655,0.4014032346373148,0.1,0.8933497200600846,0.8936358275596676,0.8941530882898369,0.8933497200600846,0.8508268259072118,0.8472669228552414,0.8528202345009542,0.8508268259072118,0.848962467399932,0.8448986692462869,0.8525570658371388,0.848962467399932,0.8619229731364394,0.9131231521325488,0.8496294393894922,0.9215125553914328,0.8745774873954341,0.9048851241587376,0.7832832832832833,0.8862721064612152,0.8707344213649851,0.8418995342648037,0.7117950272892662,0.9355822550831793,0.7808850139825629,0.8847651180898002,0.8808684357023566,0.8349253000244918,0.7012852710887871,0.9409329285122826,0.29616125311825753,0.2532274523571901,0.41988906041331536,0.3673272322129159,0.43965136332342913,0.36605046138815256
2,0.34705854547535314,0.2830304295529616,0.2981583604379797,0.1,0.8773726614775366,0.877347571902359,0.8773236684964895,0.8773726614775366,0.9025608635737253,0.9017620018036305,0.9024975706598682,0.9025608635737253,0.8909173375666175,0.8896915012540251,0.8913166457424601,0.8909173375666175,0.8387365078164875,0.9010737974859687,0.8396253193301164,0.900489037222454,0.8378495760711521,0.9016593177071246,0.8664095095646698,0.9233132992905237,0.9010971016865892,0.9033513131134495,0.8342935112189206,0.944177449168207,0.8503888024883359,0.9141684511063526,0.8977179445082909,0.8873300424352646,0.8078002659181563,0.9426810194130095,0.3847998408600688,0.3080249324660091,0.3803639693906272,0.19016030980070142,0.4151450118481897,0.197367029885451
3,0.239020241498596,0.2597259567989756,0.26256059026864126,0.1,0.9094992705031731,0.9095555936295773,0.9096236765400724,0.9094992705031731,0.9122071658245292,0.9113837376185125,0.9125414937810818,0.9122071658245292,0.8995350946819367,0.8981305439030687,0.9009435767486478,0.8995350946819367,0.8814982119329945,0.9267966560861325,0.8786372249216742,0.9286646317310157,0.8843778914968748,0.9249361800881876,0.8790443794003638,0.9310981929611104,0.919106699751861,0.9085392665552722,0.84232868405094,0.9548059149722735,0.8607137242571923,0.9214330052318879,0.9197043507475222,0.8892597347026102,0.8088343920815483,0.9560217131290827,0.2650657822583419,0.2101011180480675,0.36652110054762693,0.15924231979968775,0.38307506416289916,0.15926111117005348
4,0.2165005175140557,0.2537631188298126,0.24831900046869043,0.1,0.9182676067473066,0.918298035537568,0.9183326820094045,0.9182676067473066,0.9040537436839687,0.9033632483733518,0.9038851493878512,0.9040537436839687,0.9044109309445515,0.9036080477702548,0.9045348729092495,0.9044109309445515,0.8928382962683754,0.9339428651091465,0.8911084777006565,0.9350617628585386,0.8945748437411485,0.9328266419122766,0.8690130908520812,0.9243035107587769,0.8996916085051128,0.9064415815193247,0.8403577926015767,0.9428835489833641,0.8704272978788811,0.9242723679482573,0.9070959474611565,0.902939885914875,0.8366080661840745,0.946637225135707,0.2394354610792909,0.19072814879986896,0.3255255568133545,0.1838494773383123,0.33242127704231633,0.17415311974405812
5,0.20189518975132717,0.26918028150058404,0.2743779861213318,0.1,0.9217030696364016,0.9217703614075603,0.921860609653576,0.9217030696364016,0.8959577400091869,0.8937216682211419,0.8996642933857995,0.8959577400091869,0.890860641796122,0.8880536118418653,0.8968349502175669,0.890860641796122,0.8976070079139801,0.9366185710961136,0.8935756124033909,0.9392415402567095,0.9016749438223465,0.93401021118589,0.8500496524329693,0.920344645683137,0.9358600583090378,0.8775989268947015,0.7786537295330503,0.9674676524953789,0.842277755018435,0.9165619175588401,0.9455481972038263,0.8664972955253237,0.7593440685477914,0.9727665838623608,0.22095990376136102,0.1796206888735897,0.42335236072880184,0.12863280043264266,0.448628182253004,0.11884627323192747
6,0.19228957334411753,0.27258921716213363,0.2645231258613694,0.1,0.9248079231261275,0.9249157491304878,0.9250890613823234,0.9248079231261275,0.9018718419843822,0.9009854411620856,0.9019256661949785,0.9018718419843822,0.9052613675019844,0.904087478351067,0.9063611020673722,0.9052613675019844,0.9019714403508114,0.9390148644709997,0.895177339260141,0.9434696029050017,0.9088694601280284,0.9346019958226967,0.8649972351686547,0.9229242772741623,0.9030183077684315,0.9012595789659121,0.8300485142510613,0.9456561922365989,0.8694633231778768,0.9256507230255839,0.922579575596817,0.8962605548854041,0.8221302998965874,0.9570337657558193,0.21175208052976385,0.16999475362236433,0.4271397389417147,0.13332458993039317,0.44345994638886466,0.10987927678945487
7,0.18267831999191242,0.24601444742074652,0.22791332774576464,0.1,0.9281283914415288,0.9282499121979989,0.9284637053359492,0.9281283914415288,0.8929145613229215,0.8935253707758771,0.8952801877640715,0.8929145613229215,0.9066220659938768,0.906910712994041,0.9075377492519024,0.9066220659938768,0.9064318730467653,0.941656942823804,0.898362297605579,0.9469608073222249,0.9146477330664501,0.9364121605941054,0.8631393556909077,0.9120490450365479,0.8364386289290285,0.9311506981222918,0.8916009702850213,0.8937153419593346,0.8804355716878403,0.9233989116785266,0.8655438195832144,0.9336907449209932,0.8958487221155267,0.9133314932376484,0.19927258092930594,0.16319335235183483,0.27431009404892764,0.21003053588860662,0.2896128484601344,0.18098393665032758
8,0.17309334542548566,0.25373839385992325,0.2524375313634653,0.1,0.9317363461911641,0.9318177075766607,0.9319442909454455,0.9317363461911641,0.9030776297657327,0.9029664246329149,0.9028914153855256,0.9030776297657327,0.9060551082889217,0.9057483256692165,0.9057421031319459,0.9060551082889217,0.910887187570367,0.9446793639699458,0.9051970089693624,0.9483803063969126,0.9166493570255113,0.9410071942446043,0.8713022262885026,0.9222692945293792,0.8763803680981596,0.9190528634361234,0.8662825955124318,0.9255083179297597,0.8755725764060974,0.9245411904002915,0.8903481979230299,0.9153291253381425,0.8612793617964248,0.9339405649093753,0.18960908958637018,0.1548040976802654,0.34474907643722547,0.16034820057913987,0.36620835340885527,0.1576389160844079
9,0.16680415680581487,0.24189775410785477,0.23580088133457255,0.1,0.9342590396515664,0.9343527468631802,0.9345118791446778,0.9342590396515664,0.8980822232429949,0.8984848959474674,0.899398744089614,0.8980822232429949,0.9017462297312621,0.9020854725180447,0.902851110026836,0.9017462297312621,0.9142889269951929,0.9466818221561598,0.9074439194970425,0.9511449487554905,0.9212379855354345,0.942260385240195,0.8683332097025444,0.9168657205751487,0.8501089324618737,0.9294463963536226,0.8873559733171619,0.9046210720887246,0.8744657732705542,0.9192864794373806,0.8578737919272313,0.9308621014902848,0.891712217461959,0.9079952157512191,0.1828887748261503,0.1482148927881259,0.2493497885870501,0.2290161132785308,0.2672464194992495,0.21803133180229992
10,0.15573692168243022,0.6110968027309013,0.6895965381076322,0.1,0.9379388660097602,0.9380071073183845,0.9381139990351326,0.9379388660097602,0.8431327514928801,0.8327683346980533,0.867973075309427,0.8431327514928801,0.8254337226442907,0.812153499732214,0.8561994381195571,0.8254337226442907,0.9189437816222508,0.9497213860244668,0.9136521446970546,0.9531456353797786,0.9242970712087165,0.9463216523555349,0.7439070116235471,0.8869392484687966,0.9744597249508841,0.8030575539568345,0.6015767131594906,0.9903881700554529,0.7114609689813514,0.8748628327575696,0.9728344438749359,0.7835614443797321,0.5607918451765401,0.9902474928696292,0.16991477279738962,0.14036890860605875,1.217109725945697,0.027347749257613192,1.444527186183394,0.027892126511121034
