epoch,train_loss,val_loss,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM
1,0.20041335900919216,0.3127472661822764,0.20150618255138397,0.2025652527809143,0.2994776666164398,0.30013635754585266,0.8923403766651355,0.8932971675865733,0.8942875662187921,0.8923403766651355,0.8598596332352275,0.913681084091331,0.8560480841472577,0.9175988068605518,0.863705275924803,0.9097966728280961
2,0.12576120126826845,0.31683308917936664,0.12664148211479187,0.12726947665214539,0.3111105263233185,0.3125218152999878,0.8848185576481397,0.8868241722491044,0.8905209662317773,0.8848185576481397,0.855787476280835,0.9057445092737536,0.8250773993808049,0.9304161387778969,0.8888720436628259,0.8823475046210721
3,0.0858252166040154,0.49564090313870746,0.08666493743658066,0.08707575500011444,0.47951772809028625,0.47898373007774353,0.8759186954524575,0.876862139503363,0.8780405858252023,0.8759186954524575,0.8396113602391629,0.8995706552174725,0.8279775943396226,0.9085595776772247,0.8515767131594906,0.8907578558225508
4,0.06207402805055999,0.40481472955730036,0.06264596432447433,0.06292043626308441,0.3984992504119873,0.3988184332847595,0.8841295360587965,0.885527564193307,0.887677484810069,0.8841295360587965,0.8527085950779691,0.9055343960126017,0.8318673395818313,0.921700009572126,0.874620982413584,0.8899260628465804
5,0.05005644726592319,0.566481874736113,0.05061066895723343,0.05086388811469078,0.5348060727119446,0.5308837890625,0.8864262746899403,0.8863319435682976,0.8873964557685012,0.8864262746899403,0.8456712672521958,0.9111191728641393,0.875893437296946,0.8944088319088319,0.8174651303820497,0.9284658040665434
6,0.04210217533477501,0.5001717153939432,0.04259168356657028,0.04276099056005478,0.4781694710254669,0.47806796431541443,0.8944648598989435,0.8950798662335145,0.8957029659041501,0.8944648598989435,0.8614237906905994,0.9155970080339828,0.8643162393162394,0.9148366857353756,0.8585506367495451,0.916358595194085
7,0.036167363670172,0.5497841571773348,0.03659318760037422,0.03680963069200516,0.517562985420227,0.515267550945282,0.8903307303628847,0.890400144126324,0.8921072517153447,0.8903307303628847,0.850828729281768,0.9145233467432085,0.8873888705959829,0.8949836326638946,0.8171619163129169,0.9349353049907578
8,0.03245803928373472,0.5739007428316454,0.03690417855978012,0.0371684767305851,0.5378862619400024,0.5327427983283997,0.8938906752411575,0.8932874066182244,0.8956105948491417,0.8938906752411575,0.8533056199536334,0.9176607767512781,0.9025875190258752,0.8913573793343789,0.8091267434808975,0.9455637707948245
9,0.02784542062965522,0.445966157343728,0.02826971746981144,0.028386471793055534,0.43630874156951904,0.4347509443759918,0.8911920073495636,0.892264983765615,0.8933992661670079,0.8911920073495636,0.8588430250075324,0.912639405204461,0.8534431137724551,0.9177570093457944,0.8643117040630686,0.9075785582255084
10,0.025836746729485174,0.48419960039726556,0.026115721091628075,0.026240844279527664,0.4770191013813019,0.4759922921657562,0.889871382636656,0.8907617996837615,0.8917860513624684,0.889871382636656,0.8575286968264686,0.9110210923313312,0.8488043962572405,0.9179881767852116,0.8664342025469982,0.9041589648798521
