epoch,train_loss,val_loss,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM
1,0.20044653441361535,0.2398776253604073,0.20177872478961945,0.20241494476795197,0.24183118343353271,0.24366351962089539,0.8833256775378961,0.8849690059610121,0.8927564711157091,0.8833256775378961,0.8576858108108109,0.9016011644832606,0.8004466631634262,0.94902962206333,0.9237416616130989,0.8586876155268022
2,0.09779277484840758,0.36197606884379435,0.09859506785869598,0.09892594069242477,0.3523096442222595,0.35267651081085205,0.8872301332108407,0.8879585042980648,0.8889835872604139,0.8872301332108407,0.8540314760945774,0.908640822045773,0.8405520481573925,0.9185080264400378,0.8679502728926622,0.8989833641404806
3,0.06903796230800716,0.41820259557380624,0.06977296620607376,0.07011253386735916,0.3931781053543091,0.38990482687950134,0.9012402388608176,0.9010863371494617,0.9019589108498701,0.9012402388608176,0.8662390488110138,0.9223296563620682,0.8947963800904978,0.9063252743331252,0.8394481503941783,0.938909426987061
4,0.05345528651485821,0.5607419639344738,0.054061636328697205,0.05429363623261452,0.5288497805595398,0.5229243040084839,0.893833256775379,0.8936314108284169,0.8942916330743048,0.893833256775379,0.8562734082397003,0.9164052911495977,0.8821543408360129,0.9016906700062617,0.8318677986658581,0.9316081330868762
5,0.04285088051084581,0.3969446462894307,0.04327517747879028,0.04345547407865524,0.3822270631790161,0.3790056109428406,0.8949242076251722,0.8952404890297657,0.895566282151376,0.8949242076251722,0.862175852423074,0.9153970826580227,0.859900467501131,0.9173085846867749,0.864463311097635,0.9134935304990758
6,0.03664413534404147,0.38251465112665006,0.03715115040540695,0.037244394421577454,0.3755071759223938,0.37392303347587585,0.8952687184198438,0.8956930207279291,0.8961287852581984,0.8952687184198438,0.862801421120266,0.9157441289545601,0.8603949947233529,0.9179125266970006,0.865221346270467,0.9135859519408502
7,0.0326137680376825,0.5664726445110196,0.03310698643326759,0.03311491385102272,0.535355806350708,0.5315359234809875,0.8967615985300873,0.8967573988992485,0.8970381019367019,0.8967615985300873,0.8623400647448743,0.9177386129549095,0.8770774537472562,0.9092063492063492,0.8480897513644633,0.9264325323475047
8,0.02902285152100421,0.5591476737929584,0.029409877955913544,0.029509874060750008,0.5415628552436829,0.5364763140678406,0.8900436380339918,0.8898360041736159,0.8900257645101306,0.8900436380339918,0.8523500309214594,0.9126878969251153,0.8695583596214511,0.9025029366585344,0.8358095815645846,0.9231053604436229
9,0.02582146236615552,0.565253091119671,0.026161372661590576,0.026223136112093925,0.5441221594810486,0.5415678024291992,0.891421681212678,0.8910741668354707,0.8913639927528406,0.891421681212678,0.8536130536130536,0.9139109046187482,0.8755180108383807,0.9010238907849829,0.8327774408732566,0.9271719038817006
10,0.02403994400637333,0.5420207491203877,0.024357818067073822,0.024442648515105247,0.513902485370636,0.508550226688385,0.8975654570509876,0.8974792690492952,0.8981687275491952,0.8975654570509876,0.8618620958317101,0.9191919191919192,0.886520275685206,0.9052697616060226,0.8385385081867799,0.9335489833641405
11,0.02237420885402306,0.572883202997831,0.02265528216958046,0.022738104686141014,0.554174542427063,0.5517751574516296,0.891708773541571,0.8915952106288367,0.8917810943671985,0.891708773541571,0.8551160459557406,0.9138333409600512,0.8700768868664679,0.9050122360192151,0.8406610066707095,0.9228280961182994
12,0.020187040795631106,0.5604417942285631,0.025338025763630867,0.025340445339679718,0.5296992659568787,0.5249950885772705,0.8995751033532384,0.8990993487910881,0.8998658945592007,0.8995751033532384,0.8631050443241547,0.9210419026047565,0.8943261258331978,0.903243003109729,0.8339902971497878,0.9395563770794825
13,0.018932045026720884,0.519151196456603,0.019238779321312904,0.019291182979941368,0.5017210841178894,0.4988759458065033,0.8880914101975195,0.88840287529724,0.8887300960680393,0.8880914101975195,0.8532366492937533,0.9098406226834692,0.8502182748758091,0.9122073578595318,0.8562765312310491,0.9074861367837338
14,0.018404679442379616,0.44162021184374983,0.01863592304289341,0.018651822581887245,0.4215702414512634,0.41981837153434753,0.8905604042259991,0.8906703206780854,0.8908671193382489,0.8905604042259991,0.8546943147907261,0.9126017194611742,0.8628147690406303,0.9079681639374256,0.8467252880533657,0.91728280961183
15,0.01734574325436938,0.5397024783304353,0.01758759096264839,0.017645929008722305,0.5164933800697327,0.5131566524505615,0.8944074414331649,0.8941943296339957,0.8944234271437757,0.8944074414331649,0.858005107173257,0.916255707762557,0.8762446657183499,0.9055054151624549,0.8405093996361431,0.927264325323475
16,0.016429055535583725,0.5517339321008511,0.01663997955620289,0.016702057793736458,0.5295625329017639,0.5259416699409485,0.8975654570509876,0.8974022589448287,0.8974891138027312,0.8975654570509876,0.8629715165511932,0.9183916468217622,0.876603065373788,0.9102214960058097,0.8497574287446937,0.926709796672828
17,0.01591798851752897,0.5446142561737707,0.01612977683544159,0.016195960342884064,0.5418152213096619,0.5404590964317322,0.8925700505282499,0.8928155427462221,0.8930617155656442,0.8925700505282499,0.858766479769662,0.9135722543352601,0.8583762496213269,0.9142063859324386,0.8591570648878107,0.9129390018484288
18,0.014673745199030258,0.5976538307916159,0.014898492023348808,0.014936384744942188,0.5580165386199951,0.5537601113319397,0.9019866789159394,0.9011617777900173,0.9025377198607478,0.9019866789159394,0.8648262732032366,0.9233123312331233,0.9069883527454243,0.8998245614035087,0.8264099454214675,0.9480591497227356
19,0.014409069049511737,0.5529325453323074,0.014578626491129398,0.01462437305599451,0.5329425930976868,0.5295401215553284,0.8967041800643086,0.8965693075726754,0.896901669444852,0.8967041800643086,0.8613240418118467,0.918055238530016,0.8802025636967875,0.9070816418583671,0.8432383262583384,0.9292975970425139
20,0.013063746212250227,0.592815569758884,0.013280563987791538,0.013307924382388592,0.5717331171035767,0.5692828893661499,0.8979099678456591,0.897862951817883,0.8979480271390334,0.8979099678456591,0.863998773382398,0.9185069556035076,0.8739143920595533,0.9125992154000547,0.8543056397816858,0.9244916820702404
21,0.013582457297757993,0.6307385631554066,0.01371704414486885,0.01375523116439581,0.5916908383369446,0.5856389403343201,0.8988286632981167,0.8978818858635205,0.8994939390654563,0.8988286632981167,0.8600318471337579,0.9209557172370431,0.9056002682763246,0.895771448540975,0.8188295936931473,0.9475970425138632
22,0.011973645122036958,0.7865724479829354,0.012138612568378448,0.012182622216641903,0.7369338870048523,0.728297233581543,0.8928571428571429,0.891359880839838,0.8944900220760277,0.8928571428571429,0.8490199254819375,0.9171708185053381,0.9114782608695652,0.8841337907375644,0.7945724681625227,0.9527726432532347
