epoch,train_loss,val_loss,test_loss,learning_rate,train_accuracy,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,test_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted,train_f1_MI,train_f1_NORM,train_precision_MI,train_precision_NORM,train_recall_MI,train_recall_NORM,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM,test_f1_MI,test_f1_NORM,test_precision_MI,test_precision_NORM,test_recall_MI,test_recall_NORM,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,test_loss_MI,test_loss_NORM
1,0.2819524537407944,0.2742361296892344,0.27385932163176235,0.1,0.8954627453517037,0.8955142053469338,0.8955728617590969,0.8954627453517037,0.9084749655489205,0.9073670978278744,0.9093627259111072,0.9084749655489205,0.9001020523868919,0.898535004042018,0.9021103560348962,0.9001020523868919,0.8630246640360872,0.9154787985147048,0.8608115724215668,0.916933428009359,0.8652491644164133,0.9140287769784172,0.8725207933461292,0.9286098172697957,0.9233243060257278,0.9008515815085159,0.8270163735597331,0.9581330868761553,0.8606012658227848,0.9221593921187489,0.9264179867143587,0.8869720404521119,0.8035160289555325,0.9602539332045267,0.30263470101635903,0.2567113539792926,0.42707970834414255,0.1371788787689522,0.44816770756712515,0.12223540555240343
2,0.2254361120068988,0.2523144744700236,0.24931492400907418,0.1,0.9123956963280795,0.912642108314795,0.9131500580820908,0.9123956963280795,0.8906178226917777,0.8914695683225091,0.8946902532564812,0.8906178226917777,0.8939789091733756,0.8944569682538153,0.8956916249983795,0.8939789091733756,0.8866656128834299,0.9286044808903207,0.8733880422039859,0.9375835353953516,0.9003531166795702,0.9197957762822,0.8621662687215107,0.909333206415687,0.8246366782006921,0.9373957413403984,0.9032747119466343,0.882902033271719,0.8654289004029937,0.912535079513564,0.8436929984565736,0.9280753496337171,0.8883143743536711,0.897506670346858,0.24459707610966527,0.20255004577783814,0.23177035219899994,0.26603079344533437,0.26776023720555114,0.22868824474837468
3,0.1981829905731029,0.27337063549169444,0.26093897462391313,0.1,0.9222492938614459,0.9224391287278387,0.9228255182046333,0.9222492938614459,0.8867707854846119,0.8878324606011131,0.8926697766507979,0.8867707854846119,0.889670030615716,0.8906633324863827,0.8956048040060923,0.889670030615716,0.8992005367026332,0.9367190790397304,0.8875563321990251,0.944498183362431,0.9111543327605416,0.9290670689255047,0.8590421729807005,0.9053833605220228,0.8126859615904788,0.9414288565156655,0.9110066707095209,0.871996303142329,0.8645224171539961,0.9069433817903596,0.8175115207373271,0.9442397689933287,0.9172699069286453,0.8724813690311897,0.2149541338063393,0.17743475662941552,0.22972478302012939,0.3101877585957575,0.23364332127450566,0.28551230125426164
4,0.17621733037179493,0.25650917277848934,0.25571745015661357,0.1,0.9293573959478787,0.9295236904008382,0.9298736468365163,0.9293573959478787,0.8864836931557188,0.887680695490998,0.8940843291195038,0.8864836931557188,0.8850776732055788,0.8861003703162914,0.8909280514269344,0.8850776732055788,0.9083705450782612,0.9425221484751908,0.897039328325232,0.9500501031535514,0.9199916913722455,0.9351125551171966,0.8600948269761517,0.9044973672769432,0.8065029860650299,0.9474749519279425,0.9213159490600363,0.8652495378927911,0.8587554874224793,0.9031302270011947,0.8127143233975205,0.9396380270485283,0.9103264884030138,0.8693532063667311,0.19049573177985354,0.15789230843481217,0.2000740604364886,0.29247457638763596,0.2347179874654419,0.28238425113638677
5,0.16525266227853705,0.26792310139264436,0.24146791152408542,0.05,0.9330228479843607,0.9331740702467123,0.9334943683246933,0.9330228479843607,0.9002067064768029,0.9007424494257091,0.902284886170705,0.9002067064768029,0.9069622406168499,0.9072132757340197,0.9077179371389699,0.9069622406168499,0.9130779490910448,0.9455229944523362,0.9021638957496222,0.9527467219584604,0.9242593047189229,0.9384079832907867,0.8721870863362259,0.91815013657342,0.8469008854612968,0.9360476281928174,0.899029714978775,0.900924214417745,0.8805937568216546,0.9237913899595969,0.8676512761686264,0.9326706676669168,0.8939282020977988,0.9150795841383752,0.1792436712404357,0.14743634626903285,0.2901263714127527,0.24541612230385756,0.307165680261365,0.18704267630971078
6,0.13140403621570598,0.35979885058459604,0.3760472516757261,0.05,0.9469371914012807,0.9470440519717297,0.9472864073695171,0.9469371914012807,0.897795130914102,0.8960939646818157,0.8997116761587433,0.897795130914102,0.9004989227803606,0.8984884591665901,0.9043652175373956,0.9004989227803606,0.9310418904403867,0.9568772669661058,0.9211392030753308,0.9633536793329335,0.9411598089015616,0.9504873520538408,0.8551903677188415,0.9210292812777284,0.922752808988764,0.8856655290102389,0.7968465736810187,0.9593345656192237,0.8588661037394452,0.9231644849174729,0.9424638192728556,0.8806381556966255,0.7888905303589895,0.9700064403348975,0.14125642473193104,0.11860179561293027,0.6631011245587423,0.07983404144422582,0.7315378400498825,0.06722789875377624
7,0.12185633846086735,0.2982214461415167,0.3183251019778037,0.05,0.9513716696493384,0.9514568678956198,0.951644155441971,0.9513716696493384,0.9016995865870464,0.9015563704246147,0.9014708673882652,0.9016995865870464,0.9038439732395963,0.9034830237270387,0.9035124339352786,0.9038439732395963,0.936713123187728,0.9605167946593217,0.9280670212963135,0.9661321374906086,0.9455218384727232,0.9549663495010443,0.8692730604764813,0.9212366580787633,0.8756923076923077,0.9171857823378526,0.8629472407519709,0.9253234750462107,0.8723468312509408,0.9228740336516599,0.8892128279883382,0.9124179480262566,0.8561087309794652,0.9335725457723801,0.1315794782634411,0.10939510925741427,0.4412412385682084,0.1554458293726882,0.5270714731170987,0.1391398844303246
8,0.1141239643735739,0.24697552509216586,0.2591681972843866,0.05,0.9540740421311369,0.9541590208040273,0.9543586457856549,0.9540740421311369,0.9005512172714745,0.9008561494173665,0.9014591054995466,0.9005512172714745,0.8986279623540084,0.8988024807458554,0.8990751929214816,0.8986279623540084,0.9402625084137312,0.9626983293054534,0.9310881116809538,0.9686582242793036,0.9496195026153295,0.9568113251334416,0.8708619147032508,0.919140989729225,0.8568075117370892,0.9286792452830188,0.8853850818677986,0.9097966728280961,0.8691643494804625,0.9172605275335493,0.8610990285631434,0.9227260031654408,0.8773821834835278,0.9118594166896679,0.12202731496996849,0.10356524792281535,0.28228062279242,0.21012350067540486,0.34132002303185865,0.19020551748141862
9,0.10500255384971383,0.2888615555931002,0.29784595324942037,0.05,0.958486958896627,0.9585567250421121,0.9587209606511715,0.958486958896627,0.8937184198438217,0.894216969405179,0.89545511226587,0.8937184198438217,0.8948293457308085,0.8951312967573598,0.8957182307071294,0.8948293457308085,0.9459520155706105,0.9663022297935895,0.9375823115876166,0.9717105108769625,0.9544724965538078,0.9609538175910884,0.8633040395834872,0.9130618571227279,0.8416126709863211,0.9282781014229777,0.8861431170406306,0.8983364140480592,0.8651595551355673,0.913797109531112,0.8516027475672582,0.9231924882629108,0.8791549711921998,0.9045910387340141,0.11200022968627951,0.09529202168306734,0.32332431279021323,0.24485549497049316,0.3769405373398655,0.23333689646687414
10,0.09704281692776164,0.31718815800561245,0.31957325654608926,0.05,0.9617499299251816,0.9618147335338992,0.961975958089295,0.9617499299251816,0.8978525493798806,0.8980352195836415,0.89831419194456,0.8978525493798806,0.9024832747477038,0.902523700594404,0.9025695705437999,0.9024832747477038,0.9502039746996519,0.9689494626541734,0.9417274059237004,0.9744185500715811,0.9588345261249693,0.9635414249245765,0.866411353908538,0.917313502207762,0.8583544115459009,0.922674146797569,0.874620982413584,0.9120147874306839,0.8732311320754716,0.9207665376819606,0.8713046036181792,0.922040778669619,0.875166198847688,0.9194958137823167,0.10267112086351998,0.08912783624349258,0.42572640391259203,0.20121943296369227,0.49446176625421384,0.18047953639145725
