epoch,train_loss,val_loss,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM
1,0.20338797628147484,0.26975153510569566,0.20453941822052002,0.2052716165781021,0.2710300385951996,0.2710053622722626,0.8771819016995865,0.8798171991282496,0.8868538363510553,0.8771819016995865,0.8504026797804861,0.897748638094779,0.8024209818426362,0.9383251032953743,0.9044875682231656,0.860536044362292
2,0.12388055078435802,0.36802789331380653,0.1247440055012703,0.12529818713665009,0.35394540429115295,0.3518826961517334,0.8863114377583831,0.8872652304077243,0.8886070416079636,0.8863114377583831,0.8535278356653766,0.9078319453541687,0.8383040935672514,0.9192723138146675,0.8693147362037599,0.8966728280961183
3,0.08312213247892641,0.5594655439286954,0.08393901586532593,0.08420607447624207,0.5174394845962524,0.5142816305160522,0.8943500229673863,0.893750540478849,0.8955513625621432,0.8943500229673863,0.8543704764177205,0.9177570933944872,0.8986113434833528,0.8936859619931693,0.8142813826561552,0.9431608133086876
4,0.060773724042182745,0.7051039783428024,0.06262721121311188,0.06280027329921722,0.7659140229225159,0.7750840187072754,0.8284910427193385,0.8315358478911669,0.8616081835359417,0.8284910427193385,0.8074526097117631,0.8462172747887033,0.7060626702997275,0.956430568499534,0.9428441479684657,0.7587800369685767
5,0.07928265422282466,0.5776588650613925,0.08000721037387848,0.08038493245840073,0.54041588306427,0.5356051325798035,0.8943500229673863,0.8941594160781533,0.8948825936392918,0.8943500229673863,0.8570089808668488,0.9168067608705529,0.8837171847318409,0.901689158995442,0.8318677986658581,0.9324399260628465
6,0.03647449724882748,0.5139789680672852,0.03691606968641281,0.03699009492993355,0.4932425320148468,0.49233371019363403,0.8917661920073495,0.8922623832338737,0.8927633208244269,0.8917661920073495,0.8575771393828849,0.9134069182099478,0.8597988418165193,0.912858857195606,0.8553668890236507,0.9139556377079483
7,0.037312493547587734,0.54236973908387,0.03777574747800827,0.037943750619888306,0.5124568939208984,0.5083635449409485,0.8864836931557188,0.8861601921585814,0.8866906077226786,0.8864836931557188,0.8463759069985176,0.9104131630380438,0.8718855489471146,0.8957159466952866,0.8223165554881746,0.9256007393715342
8,0.036001849057566475,0.507643218258562,0.03640611097216606,0.03654777258634567,0.4910365045070648,0.4871632754802704,0.8843017914561323,0.8853368795412976,0.8869442674876512,0.8843017914561323,0.8518271440219406,0.9057648107322107,0.8333575054387237,0.919611391561101,0.8711340206185567,0.8923290203327172
9,0.03257066743542291,0.6866888869298168,0.03296415135264397,0.0331135019659996,0.6387907862663269,0.6292321085929871,0.8949242076251722,0.8937708779695639,0.8969382657069579,0.8949242076251722,0.8528936307791788,0.9186901314323903,0.9134349030470914,0.8868817204301075,0.7998787143723469,0.9528650646950092
10,0.02883649488843546,0.7159214955031644,0.0292182806879282,0.029316654428839684,0.6712719202041626,0.6593427062034607,0.8870578778135049,0.8859208471987176,0.8881961274355022,0.8870578778135049,0.8424179176366702,0.9124407476969859,0.8952397201842689,0.8839022699705423,0.7954821103699211,0.9428835489833641
11,0.026800682750217887,0.5429620927006269,0.02720789983868599,0.027296015992760658,0.5195503234863281,0.5169489979743958,0.8924552135966927,0.8926311314833145,0.8928339351044667,0.8924552135966927,0.8577960676726109,0.9138669984791926,0.8623965675758505,0.9113889144222814,0.853244390539721,0.916358595194085
12,0.023119006349684886,0.5103155014608182,0.023417238146066666,0.023494746536016464,0.49889567494392395,0.496181845664978,0.8843017914561323,0.884779257678611,0.8853448510501226,0.8843017914561323,0.8491133152990682,0.9065216380793009,0.8417759237187128,0.9119049845693444,0.8565797453001819,0.9012014787430684
13,0.02242902198742705,0.5439970865694045,0.02270883321762085,0.022768786177039146,0.5240291953086853,0.521515965461731,0.8980248047772164,0.8981747596753263,0.8985363497433442,0.8980248047772164,0.8641747423473312,0.9189015724567918,0.8769903215735249,0.9116710634039844,0.851728320194057,0.9262476894639556
14,0.02028012938606231,0.5231184585083872,0.02055184356868267,0.02060745283961296,0.4935341775417328,0.4901462197303772,0.8984267340376665,0.8985457849852845,0.898925507962207,0.8984267340376665,0.8645817285472193,0.9192506755828334,0.8787973692452239,0.911195859438845,0.8508186779866586,0.927449168207024
15,0.020248675239002777,0.5839837754041683,0.0205462034791708,0.020617874339222908,0.5535067319869995,0.5492987632751465,0.8983693155718879,0.8975748607426521,0.8988104932365122,0.8983693155718879,0.8600617723924923,0.9204432831786648,0.9003482009616979,0.8978730884162419,0.823226197695573,0.944177449168207
